,cleaned_entity_name,entity_name,lei,isin,LEI
9952,Tianjin Heyu Energy Heating Construction Group,Tianjin Heyu Energy Heating Construction Group,,,
9953,Tianjin HITECH Industry PARK International Trade,Tianjin HI-TECH Industry PARK International Trade,,,
9954,Tianjin Hongkang Enterprise Management,Tianjin Hongkang Enterprise Management,,,
9955,Tianjin Hongxin Asset Management,Tianjin Hongxin Asset Management,,,
9956,Tianjin Hongxin Yuanpeng Enterprise Management,Tianjin Hongxin Yuanpeng Enterprise Management,,,
9957,Tianjin Hongzheng Enterprise Management,Tianjin Hongzheng Enterprise Management,,,
9958,Tianjin Huarui Energy Development,Tianjin Huarui Energy Development,,,
9959,Tianjin Jianlong Iron  Steel Industrial,Tianjin Jianlong Iron & Steel Industrial,,,
9960,Tianjin Jianrun Steel Trade,Tianjin Jianrun Steel Trade,,,
9961,Tianjin Jiayu Culture Development,Tianjin Jiayu Culture Development,,,
9962,Tianjin Jinghai Heyu Thermal Power,Tianjin Jinghai Heyu Thermal Power,,,
9963,Tianjin Jinlian Investment Holdings,Tianjin Jinlian Investment Holdings,,,
9964,Tianjin Jinneng,Tianjin Jinneng,,,
9965,Tianjin Jinneng Investment,Tianjin Jinneng Investment,,,
9966,Tianjin Jinrong Asset Management,Tianjin Jinrong Asset Management,,,
9967,Tianjin Jinrong Investment Service Group,Tianjin Jinrong Investment Service Group,,,
9968,Tianjin Juntai Enterprise Management,Tianjin Juntai Enterprise Management,,,
9969,Tianjin KaiHong Energy,Tianjin KaiHong Energy,,,
9970,Tianjin Municipal Bureau of Finance,Tianjin Municipal Bureau of Finance,,,
9971,Tianjin Municipal Peoples Government Stateowned Assets Supervision and Administration Commission,Tianjin Municipal People's Government State-owned Assets Supervision and Administration Commission,,,
9972,Tianjin New Continent Electric Vehicle,Tianjin New Continent Electric Vehicle Co,,,
9973,Tianjin Nuohui Kanghong Pharmaceutical Technology Partnership,Tianjin Nuohui Kanghong Pharmaceutical Technology Partnership,,,
9974,Tianjin Port Free Trade ZONE Investment,Tianjin Port Free Trade ZONE Investment,,,
9975,Tianjin Shanghua New Energy,Tianjin Shanghua New Energy,,,
9976,Tianjin TEDA,Tianjin TEDA,,,
9977,Tianjin Teda Environmental Protection,Tianjin Teda Environmental Protection,,,
9978,Tianjin TEDA International Holding Group,Tianjin TEDA International Holding (Group),,,
9979,Tianjin Tiantie Group,Tianjin Tiantie Group,,,
9980,Tianjin Xiangheyuan Investment Management,Tianjin Xiangheyuan Investment Management,,,
9981,Tianjin Xintiangang Iron and Steel Group,Tianjin Xintiangang Iron and Steel Group,,,
9982,Tianjin Youtai Enterprise Management Partnership,Tianjin Youtai Enterprise Management Partnership,,,
9983,Tianjin Youyou Equity Investment Fund Management,Tianjin Youyou Equity Investment Fund Management,,,
9984,Tianjin Yumei Enterprise Management Consulting,Tianjin Yumei Enterprise Management Consulting,,,
9985,Tianjin Zhaoxun Media Technology,Tianjin Zhaoxun Media Technology,,,
9986,Tianmen Kaidi Green Energy Development,Tianmen Kaidi Green Energy Development,,,
9987,Tianshui Kaidi Green Energy Development,Tianshui Kaidi Green Energy Development,,,
9988,Tibet Bilis Technology Development,Tibet Bilis Technology Development,,,
9989,Tibet Chuhan Economic and Trade,Tibet Chuhan Economic and Trade,,,
9990,Tibet Dehui Taxation Chouhua,Tibet Dehui Taxation Chouhua,,,
9991,Tibet Hongding New Energy Technology Partnership,Tibet Hongding New Energy Technology Partnership,,,
9992,Tibet Hongran Xinyue Industrial,Tibet Hongran Xinyue Industrial,,,
9993,Tibet Huachen Machinery Equipment,Tibet Huachen Machinery Equipment,,,
9994,Tibet Kejia Investment Management,Tibet Kejia Investment Management,,,
9995,Tibet Minghui Asset Management,Tibet Minghui Asset Management,,,
9996,Tibet Taifeng Investment,Tibet Taifeng Investment,,,
9997,Tibet Zhicheng Green Energy Technology,Tibet Zhicheng Green Energy Technology,,,
9998,Tiefa Coal Industry Group Daqiang Coal Mine,Tiefa Coal Industry Group Daqiang Coal Mine,,,
9999,Tiefeng Coal Industry   Datong Coal Mine Group,Tiefeng Coal Industry Co Ltd Datong Coal Mine Group,,,
10000,Tieling Changqing Environmental Protection Energy,Tieling Changqing Environmental Protection Energy,,,
10001,TIGER FORESTPAPER Group,TIGER FOREST&PAPER Group,,,
10002,Tingziyan Coal Mine,Tingziyan Coal Mine,,,
10003,Toksun County Peoples Government Finance Bureau,Toksun County People's Government Finance Bureau,,,
10004,Tokyo Boeki CHINA,Tokyo Boeki (CHINA),,,
10005,TONG CHUAN Coal MINING Administration,TONG CHUAN Coal MINING Administration,,,
10006,Tongchuang Jiuding Investment Holding,Tongchuang Jiuding Investment Holding,,,
10007,Tongchuangjiuding Investment Management Group,Tongchuangjiuding Investment Management Group,,,
10008,Tongcoal Datang Mountain Coal Mine,Tongcoal Datang Mountain Coal Mine,,,
10009,Tonggang Group,Tonggang Group,,,
10010,Tonghua Erdaojiang Sub Branch of Bank of Jilin,Tonghua Erdaojiang Sub Branch of Bank of Jilin,,,
10011,Tongliao Economic and Information Commission Tongliao Stateowned Assets Supervision and Administration Bureau,"""Tongliao Economic and Information Commission (Tongliao State-owned Assets Supervision and Administration Bureau",,,
10012,Tongliao Stateowned Assets Supervision and Administration Commission,Tongliao State-owned Assets Supervision and Administration Commission,,,
10013,Tongling Xuanli Stainless Steel Plate,Tongling Xuanli Stainless Steel Plate,,,
10014,Tongmei Guodian Tongxin Coal Mine,Tongmei Guodian Tongxin Coal Mine,,,
